textID,text,selected_text,sentiment
4921fcb7c4,absolutely gutted that i`m not going to badu tonight.  you guys have fun...! just got home and need to head downtown now. gd this heat!,absolutely gutted that i`m not going to badu tonight.  you guys have fun...! just got home and need to head downtown now. gd this heat!,negative
4137a2ac20, It is absolutely incredible. It`s official: My FAVORITE JONAS is FRANKIE. He is the man,incredible.,positive
511d2b0355,I see ,I see,neutral
fbd2944d44," Glad to hear you`re okay. Could have really hurt, by the sounds of it. Is the couch okay? lol","Glad to hear you`re okay. Could have really hurt, by the sounds of it. Is the couch okay? lol",neutral
dd51596098, i saw a piece of that movie...loved it,..loved it,positive
b0a446fd94, ahh i wish you guys would come to a hot topic near me.,ahh i wish you guys would come to a hot topic near me.,neutral
21ace14664,last night in cork  and come tomorrow i wont even remember it... double sad face  haha... in the words on lily allen.. NOT FAIR!,sad,negative
266b8792a0,Just broke my favorite necklace  superglue?,Just broke my favorite necklace,negative
8f3e73cf09,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",I thought Wolverine was awesome.,positive
e4165fd406,http://twitpic.com/4wt8a - pretty **** good friday night,good,positive
737158a766," thank you  btw, if u`re wondering, you can check out the 'Fuel' brand here (  )",thank you,positive
2e057debac,lovely night of steve-o and family guy. off to bed.,lovely,positive
1a9c8b9756," no not proper, my dog barks too much & jumps up & its all my fault for not being strict enough","no not proper, my dog barks too much & jumps up & its all my fault for not being strict enough",negative
4796a0be50,At Twin Peaks. High  Yay!,High  Yay!,positive
48de42c9a4, Soz no ideas. That is a reason i didnt take geography cz i would fall asleep as well. Lmao,Soz no ideas. That is a reason i didnt take geography cz i would fall asleep as well. Lmao,neutral
a9f5a7ec14, gotta check with the bro on that...and mine is a girl,gotta check with the bro on that...and mine is a girl,neutral
ce0025d376," ack, no can see  either.  and weird, these tweets are in my mentions, but not my timeline (oh wait, new Twitter)",nd weir,negative
84fbb4153d,*meow* a week ago today  was here and we were road trippin,*meow* a week ago today  was here and we were road trippin,neutral
20d4300a14," red top tabloids, build em up, knock em down","red top tabloids, build em up, knock em down",neutral
0a75a593b2,im watching tv at home wishing i could get a chicken shish delivered but not go enough pennies,im watching tv at home wishing i could get a chicken shish delivered but not go enough pennies,neutral
a9c0129d5f,"holiday time | got my grizzly bears cd, bit it wont read  | adventures tomorrow | swine flu is scaring me | i still have a cold","holiday time | got my grizzly bears cd, bit it wont read  | adventures tomorrow | swine flu is scaring me | i still have a cold",neutral
55ffbe6317,So grateful for my amazing family. How blessed am I. Happy Mothers day everyone,grateful,positive
d131289faf,Happy star wars day everyone,Happy star wars day everyone,positive
c23e9932f1,Morning everybody,Morning everybody,neutral
df5bd277ca,wishes he can just call her.  blah. it used to be so easy to move on. wtf happened?,wtf happened?,negative
e570711aaa,its almost lunch time for you,its almost lunch time for you,neutral
22f9389e09, lol i wos gona send mine in bt i was too late  ****,bt i was too late,negative
dc3d5910c6, Have a great night!,Have a great night!,positive
ac0c0b579a,Friday night and still working...oh wait..it`s Saturday morning already,Friday night and still working...oh wait..it`s Saturday morning already,neutral
735fa4e3ea,is busy creating a new logo for my  site,is busy creating a new logo for my  site,neutral
973e2e7792, oh wow THANKS Wayne,oh wow THANKS Wayne,positive
ee2e1db50d,"I want to see Terminator, but everyone`s already seen it","I want to see Terminator, but everyone`s already seen it",neutral
8f29848b65," oh! Yeah,your mom told be about that.  I thought you meant his twitter ID & I was very confused. That sucks. Sick.",t sucks,negative
3fa26dc25b, you fail. at life.,fail.,negative
6ba84dc1a3,going to take my sociology exam   and back to bed,going to take my sociology exam   and back to bed,neutral
488d1aa6d0,Watching the Pianist with my dad great movie.,great,positive
eb3955b78a,anywho im having an early night good night twitter world.,anywho im having an early night good night twitter world.,neutral
9b11025d23, I will be uploading soon!    http://myloc.me/FEb,I will be uploading soon!,neutral
744a347fe1,Heading home after a long week. Wish someone onther than marketers would follow me,Wish,positive
dceade7e18,This will be the worst day ever....graduation,worst day ever...,negative
55c858a306,_mraz http://twitpic.com/4iq19 - popcorn crazy dude and still adorable,still adorable,positive
09c7871cad,"chillin on break eatin some grub. pretty burnt out had an eventful day. wanting to go to the movies with Ian, not happening though.",pretty burnt,negative
b061fb5237,Battery is going to die!,Battery is going to die!,neutral
c0b77daa06,i HATE U.S. history,i HATE U.S,negative
009d5f5e9e,Good movie.,Good movie.,positive
2c2ae8e3b8,_FP Awh shoot. Make a detour and come to PR  forget Indiana haha,Make a detour and come to PR  forget Indiana haha,neutral
eb7fc3c46f, What software do you use to design sites? I`m a CS student and currently I hard code everything. It`s not the fastest way...,It`s not the fastest way...,negative
a56e55c706,Braxton was up at 2:30 untill 4am and now he won`t sleep more than 15 minutes at a time! It`s hard to be a mom on days like this!,hard to be a mom on,negative
3471a5259c,has a gym day and is hoping to enjoy the last Friday of her twenties.,enjoy,positive
d3d7dfa00f, **** marriage isn`t legal everywhere here.,e isn`t legal,negative
64c7ef8355, Hi!! How are you? You`re an amazning actress  Greets from Slovenia,You`re an amazning actress,positive
cd53878e76,finished the noodles. done the dishwasher. really really warm. i don`t like it,i don`t like it,negative
028450a3c6,"If you guys would be interested in watching me get tattooed tomorrow, let me know!","If you guys would be interested in watching me get tattooed tomorrow, let me know!",neutral
13647a3c0a,"We need to remodel the house and the thoughts of doing it make me kind of ill   He has one way and I have anouther, I just want to move. !",ill,negative
e3157d7984,  Mine are older than yours.,Mine are older than yours.,neutral
037b1abfd0,  just wanted to say that I <3 ur music(both the scene aesthetic n Danger Radio) Hopefully i will get to see u guys 1 day,t I <3 ur music,positive
8c32aab25f, You Got Twitter! Yayy  ****,Yayy,positive
0a91c1f15a,"I don`t think that im feeling too well. all the sudden, im tired but scared to fall asleep cuz I know I will wake up sick.","I don`t think that im feeling too well. all the sudden, im tired but scared to fall asleep cuz I know I will wake up sick.",negative
e5dc4778cc," yeah, still waitin`","yeah, still waitin`",neutral
c6d0c7676c, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral
161f0f7a1a,Waiting for the dang pizza to cook. It`s almost 9 and we still have not eaten wifey fail. Did I mention I feel like ****,Did I mention I feel like ****,negative
ff1cb8b8bd, did you have fun last night? we didn`t see you.,did you have fun last night? we didn`t see you.,neutral
d1080ffd8d,  amason seems to think hamburger a-go-gos don`t get it till october! well now....,amason seems to think hamburger a-go-gos don`t get it till october! well now....,neutral
51dff892b3," Hee Hee! I only holiday in the gutter, try to get there once a week at least! Welcome! lol  ****",Welcome!,positive
89fbfbd676,"super frustrated, and taking it out on the one`s I love!   I love you, Paul!","super frustrated, and taking it out on the one`s I love!   I love you, Paul!",neutral
a6a9c3da9e,check out q100 right now..99.7,check out q100 right now..99.7,neutral
925620087e, i think im just going to wind up going Home and go to bed,i think im just going to wind up going Home and go to bed,neutral
077ee7b7ff," Oh no, but that means that you won`t be able to get pwned by my shottie this weekend","Oh no, but that means that you won`t be able to get pwned by my shottie this weekend",neutral
9acb99731a,Oh no! My kindergarten teacher died  Mrs. Collinson always remembered every student she ever had. Loved that lady.,Loved that lady.,positive
57ed2efb41,On route home! Parents 35th wedding anniversary 2day.. Gona take em 4 dinner  let`s c if I find a woman I can be 2getha with 4 that long,On route home! Parents 35th wedding anniversary 2day.. Gona take em 4 dinner  let`s c if I find a woman I can be 2getha with 4 that long,neutral
18f4c013a0," Haha! I can`t a good vid of it on tubey,you thugh",good,positive
d7e9c3b09c,Hi everybody! Sorry for the long listening. Iwas too busy.,Sorry for the long listening.,negative
8f14bb2715,So I get up early and I feel good about the day. I walk to work and I`m feeling alright. But guess what... I don`t work today.,I feel good ab,positive
b81ccfae03, diggin` your moustachio! Looking good daddio!,Looking good daddio!,positive
768e382964,"simple greetings from unexpected people can actually lighten our mood, doesn`**** ever happen to you?","simple greetings from unexpected people can actually lighten our mood,",positive
487a01f922,It SUCKS when my playmate is MIA all weekend.  Sad,Sad,negative
0bd53bf82a, thankyooooou,thankyooooou,positive
e002ef151b,_11 thanks. enjoy the movie! i hope all is well with you te.,enjoy,positive
f69a3cb947,() Oh snap... kinda nuts right now... :  I`ve told at least 27  Thanks babes.,Thanks babes.,positive
f3ac14aaf3,working on short story...totally loving one of my secondary characters,loving,positive
6d24b61035,is downloading new fonts . again  http://plurk.com/p/rplkr,is downloading new fonts .,neutral
3edf9dc8ff,lohang: is listening to music. really happy about !librefm #audacious combination  here`s my profile http://is.. http://tinyurl.com/r5o3zj,is listening to music. really happy about !librefm #audacious combination,positive
4689296fa3,http://bit.ly/ZGuQP  What would happen if the Bees died?,http://bit.ly/ZGuQP  What would happen if the Bees died?,neutral
a07b1d9eea,"Woke Up,I Wanna Stay In My bed","Woke Up,I Wanna Stay In My bed",neutral
